,County_of_Origin,Period,AgeClassDescription,unemployed_number
3254,mourão,Sep-20 to Jan-21,45-54,18
3255,murtosa,Sep-20 to Jan-21,45-54,23
3256,murça,Sep-20 to Jan-21,45-54,35
3257,mértola,Sep-20 to Jan-21,45-54,23
3258,nazaré,Sep-20 to Jan-21,45-54,52
3259,nelas,Sep-20 to Jan-21,45-54,46
3260,nisa,Sep-20 to Jan-21,45-54,18
3261,norte,Sep-20 to Jan-21,45-54,15384
3262,odemira,Sep-20 to Jan-21,45-54,163
3263,odivelas,Sep-20 to Jan-21,45-54,613
3264,oeiras,Sep-20 to Jan-21,45-54,626
3265,oleiros,Sep-20 to Jan-21,45-54,5
3266,olhão,Sep-20 to Jan-21,45-54,177
3267,oliveira de azeméis,Sep-20 to Jan-21,45-54,178
3268,oliveira de frades,Sep-20 to Jan-21,45-54,34
3269,oliveira do bairro,Sep-20 to Jan-21,45-54,62
3270,oliveira do hospital,Sep-20 to Jan-21,45-54,64
3271,ourique,Sep-20 to Jan-21,45-54,17
3272,ourém,Sep-20 to Jan-21,45-54,89
3273,ovar,Sep-20 to Jan-21,45-54,203
3274,palmela,Sep-20 to Jan-21,45-54,228
3275,pampilhosa da serra,Sep-20 to Jan-21,45-54,8
3276,paredes,Sep-20 to Jan-21,45-54,373
3277,paredes de coura,Sep-20 to Jan-21,45-54,26
3278,paços de ferreira,Sep-20 to Jan-21,45-54,192
3279,pedrógão grande,Sep-20 to Jan-21,45-54,10
3280,penacova,Sep-20 to Jan-21,45-54,19
3281,penafiel,Sep-20 to Jan-21,45-54,296
3282,penalva do castelo,Sep-20 to Jan-21,45-54,26
3283,penamacor,Sep-20 to Jan-21,45-54,15
3284,penedono,Sep-20 to Jan-21,45-54,9
3285,penela,Sep-20 to Jan-21,45-54,7
3286,peniche,Sep-20 to Jan-21,45-54,108
3287,peso da régua,Sep-20 to Jan-21,45-54,107
3288,pinhel,Sep-20 to Jan-21,45-54,15
3289,pombal,Sep-20 to Jan-21,45-54,112
3290,ponte da barca,Sep-20 to Jan-21,45-54,28
3291,ponte de lima,Sep-20 to Jan-21,45-54,87
3292,ponte de sôr,Sep-20 to Jan-21,45-54,43
3293,portalegre,Sep-20 to Jan-21,45-54,67
3294,portel,Sep-20 to Jan-21,45-54,22
3295,portimão,Sep-20 to Jan-21,45-54,452
3296,porto,Sep-20 to Jan-21,45-54,1300
3297,porto de mós,Sep-20 to Jan-21,45-54,54
3298,proença-a-nova,Sep-20 to Jan-21,45-54,11
3299,póvoa de lanhoso,Sep-20 to Jan-21,45-54,80
3300,póvoa de varzim,Sep-20 to Jan-21,45-54,248
3301,redondo,Sep-20 to Jan-21,45-54,26
3302,reguengos de monsaraz,Sep-20 to Jan-21,45-54,47
3303,resende,Sep-20 to Jan-21,45-54,61
3304,ribeira de pena,Sep-20 to Jan-21,45-54,25
3305,rio maior,Sep-20 to Jan-21,45-54,41
3306,sabrosa,Sep-20 to Jan-21,45-54,28
3307,sabugal,Sep-20 to Jan-21,45-54,20
3308,salvaterra de magos,Sep-20 to Jan-21,45-54,81
3309,santa comba dão,Sep-20 to Jan-21,45-54,30
3310,santa maria da feira,Sep-20 to Jan-21,45-54,546
3311,santa marta de penaguião,Sep-20 to Jan-21,45-54,42
3312,santarém,Sep-20 to Jan-21,45-54,152
3313,santiago do cacém,Sep-20 to Jan-21,45-54,95
3314,santo tirso,Sep-20 to Jan-21,45-54,249
3315,sardoal,Sep-20 to Jan-21,45-54,13
3316,seia,Sep-20 to Jan-21,45-54,60
3317,seixal,Sep-20 to Jan-21,45-54,644
3318,sernancelhe,Sep-20 to Jan-21,45-54,17
3319,serpa,Sep-20 to Jan-21,45-54,69
3320,sertã,Sep-20 to Jan-21,45-54,51
3321,sesimbra,Sep-20 to Jan-21,45-54,165
3322,setúbal,Sep-20 to Jan-21,45-54,536
3323,sever do vouga,Sep-20 to Jan-21,45-54,17
3324,silves,Sep-20 to Jan-21,45-54,224
3325,sines,Sep-20 to Jan-21,45-54,93
3326,sintra,Sep-20 to Jan-21,45-54,1538
3327,sobral monte agraço,Sep-20 to Jan-21,45-54,25
3328,soure,Sep-20 to Jan-21,45-54,42
3329,sousel,Sep-20 to Jan-21,45-54,17
3330,sátão,Sep-20 to Jan-21,45-54,37
3331,são brás de alportel,Sep-20 to Jan-21,45-54,33
3332,são joão da madeira,Sep-20 to Jan-21,45-54,97
3333,são joão da pesqueira,Sep-20 to Jan-21,45-54,20
3334,são pedro do sul,Sep-20 to Jan-21,45-54,55
3335,tabuaço,Sep-20 to Jan-21,45-54,31
3336,tarouca,Sep-20 to Jan-21,45-54,43
3337,tavira,Sep-20 to Jan-21,45-54,103
3338,terras de bouro,Sep-20 to Jan-21,45-54,29
3339,tomar,Sep-20 to Jan-21,45-54,89
3340,tondela,Sep-20 to Jan-21,45-54,62
3341,torre de moncorvo,Sep-20 to Jan-21,45-54,31
3342,torres novas,Sep-20 to Jan-21,45-54,80
3343,torres vedras,Sep-20 to Jan-21,45-54,283
3344,trancoso,Sep-20 to Jan-21,45-54,15
3345,trofa,Sep-20 to Jan-21,45-54,129
3346,tábua,Sep-20 to Jan-21,45-54,35
3347,vagos,Sep-20 to Jan-21,45-54,51
3348,vale de cambra,Sep-20 to Jan-21,45-54,44
3349,valença,Sep-20 to Jan-21,45-54,60
3350,valongo,Sep-20 to Jan-21,45-54,495
3351,valpaços,Sep-20 to Jan-21,45-54,40
3352,vendas novas,Sep-20 to Jan-21,45-54,30
3353,viana do alentejo,Sep-20 to Jan-21,45-54,21
3354,viana do castelo,Sep-20 to Jan-21,45-54,241
3355,vidigueira,Sep-20 to Jan-21,45-54,25
3356,vieira do minho,Sep-20 to Jan-21,45-54,62
3357,vila de rei,Sep-20 to Jan-21,45-54,7
3358,vila do bispo,Sep-20 to Jan-21,45-54,30
3359,vila do conde,Sep-20 to Jan-21,45-54,320
3360,vila flor,Sep-20 to Jan-21,45-54,34
3361,vila franca de xira,Sep-20 to Jan-21,45-54,507
3362,vila nova da barquinha,Sep-20 to Jan-21,45-54,17
3363,vila nova de cerveira,Sep-20 to Jan-21,45-54,27
3364,vila nova de famalicão,Sep-20 to Jan-21,45-54,470
3365,vila nova de foz côa,Sep-20 to Jan-21,45-54,24
3366,vila nova de gaia,Sep-20 to Jan-21,45-54,1850
3367,vila nova de paiva,Sep-20 to Jan-21,45-54,14
3368,vila nova de poiares,Sep-20 to Jan-21,45-54,22
3369,vila pouca de aguiar,Sep-20 to Jan-21,45-54,41
3370,vila real,Sep-20 to Jan-21,45-54,252
3371,vila real de santo antónio,Sep-20 to Jan-21,45-54,113
3372,vila velha de rodão,Sep-20 to Jan-21,45-54,6
3373,vila verde,Sep-20 to Jan-21,45-54,131
3374,vila viçosa,Sep-20 to Jan-21,45-54,22
3375,vimioso,Sep-20 to Jan-21,45-54,11
3376,vinhais,Sep-20 to Jan-21,45-54,23
3377,viseu,Sep-20 to Jan-21,45-54,342
3378,vizela,Sep-20 to Jan-21,45-54,95
3379,vouzela,Sep-20 to Jan-21,45-54,33
3380,águeda,Sep-20 to Jan-21,45-54,110
3381,évora,Sep-20 to Jan-21,45-54,211
3382,ílhavo,Sep-20 to Jan-21,45-54,133
3383,óbidos,Sep-20 to Jan-21,45-54,33
